,index,Type,EntryTime,EntryPrice,Contract,ExitTime,ExitPrice,Profit,Deposit,State
0,0,Short,2020-01-11 12:45,8061.95,372.1184080774502,2020-01-11 13:00,8074.43,-5844.966540353174,994155.0334596469,son
1,1,Long,2020-01-12 7:30,8098.63,368.2678552272348,2020-01-12 8:00,8113.08,4127.420173780458,998282.4536334273,icc
2,2,Long,2020-01-12 10:00,8106.89,369.42000704342627,2020-01-12 10:15,8116.21,2244.3669223915736,1000526.8205558188,icc
3,3,Long,2020-01-12 10:30,8127.89,369.2939325787451,2020-01-12 12:00,8136.43,1952.507245518626,1002479.3278013375,icc
4,4,Long,2020-01-12 22:00,8128.69,369.97818632571943,2020-01-12 22:30,8154.38,8299.86346542501,1010779.1912667624,icc
5,5,Short,2020-01-13 16:15,8086.95,374.9667765721672,2020-01-13 16:30,8093.35,-3613.202357055928,1007165.9889097065,son
6,6,Long,2020-01-13 22:15,8109.93,372.56769993441605,2020-01-13 22:30,8123.0,3659.8867594833564,1010825.8756691898,icc
7,7,Long,2020-01-14 16:30,8616.93,351.9208844690127,2020-01-14 16:45,8677.05,19940.26102675916,1030766.136695949,icc
8,8,Long,2020-01-14 19:15,8716.62,354.7588870557449,2020-01-14 19:30,8761.94,14837.53786277952,1045603.6745587286,icc
9,9,Short,2020-01-16 18:30,8688.15,361.04475908866516,2020-01-16 18:45,8684.19,175.2987839693988,1045778.973342698,icc
10,10,Long,2020-01-16 21:30,8710.25,360.1890783878871,2020-01-16 22:30,8730.0,5857.3767832905805,1051636.3501259885,icc
11,11,Short,2020-01-17 1:45,8738.51,361.03512502451395,2020-01-17 2:00,8722.04,4685.474138703775,1056321.8242646921,icc
12,12,Short,2020-01-17 2:15,8738.65,362.6378757352768,2020-01-17 2:30,8737.91,-999.1804906676709,1055322.6437740244,icc
13,13,Long,2020-01-17 8:45,8928.85,354.5773454948927,2020-01-17 9:00,8944.15,4157.5612068655855,1059480.20498089,icc
14,14,Short,2020-01-17 15:45,8850.83,359.1121527520775,2020-01-17 16:00,8858.56,-4047.8683741386244,1055432.3366067514,son
15,15,Long,2020-01-17 20:00,8910.2,355.3564465242367,2020-01-17 21:45,8922.34,3046.645651423805,1058478.9822581753,icc
16,16,Short,2020-01-17 22:15,8917.09,356.10686297598494,2020-01-17 22:30,8934.66,-7528.223720713599,1050950.7585374617,son
17,17,Long,2020-01-18 1:30,8910.43,353.83839787893345,2020-01-18 1:45,8941.33,9670.278862915486,1060621.0374003772,icc
18,18,Long,2020-01-18 15:30,8885.37,358.1013634999028,2020-01-18 15:45,8903.26,5132.406861454322,1065753.4442618315,icc
19,19,Short,2020-01-18 19:45,8907.93,358.9229296576752,2020-01-18 20:00,8907.06,-966.5787317217662,1064786.8655301097,icc
20,20,Long,2020-01-19 0:00,8900.88,358.8814360591682,2020-01-19 0:15,8941.42,13268.399368519145,1078055.264898629,icc
21,21,Long,2020-01-20 1:15,8677.9,372.6899128471043,2020-01-20 1:30,8684.1,1016.5490062818236,1079071.8139049108,icc
22,22,Long,2020-01-20 20:15,8664.55,373.6161072086528,2020-01-20 20:45,8676.07,3008.310566846606,1082080.1244717573,icc
23,0,Short,2020-01-21 9:00,8656.47,375.0074075709004,2020-01-21 9:15,8649.12,1458.35955716887,1083538.4840289261,icc
24,1,Short,2020-01-22 22:00,8673.32,374.7832954493526,2020-01-22 22:15,8663.99,2197.1813113375147,1085735.6653402636,icc
25,2,Long,2020-01-22 22:30,8660.97,376.078775936274,2020-01-23 9:00,8488.75,-66058.21593279464,1019677.449407469,son
26,3,Long,2020-01-23 13:00,8385.45,364.80240752999623,2020-01-24 13:45,8466.27,28253.82097117027,1047931.2703786393,icc
27,4,Long,2020-01-26 12:30,8450.0,372.04660486815595,2020-01-26 17:00,8588.31,50189.95684167637,1098121.2272203157,icc
28,5,Short,2020-01-28 10:30,9025.35,365.01229112011686,2020-01-28 10:45,9019.17,938.4816416496476,1099059.7088619655,icc
29,6,Short,2020-01-28 18:45,8998.63,366.4090118813526,2020-01-28 19:00,8999.81,-1751.3207571806875,1097308.3881047848,icc
30,7,Long,2020-01-29 21:15,9350.18,352.0707798474847,2020-01-30 17:00,9440.42,30447.742934276364,1127756.1310390611,icc
31,0,Long,2020-01-31 11:15,9320.34,362.9983877323341,2020-01-31 15:45,9339.19,5487.843747586343,1133243.9747866474,icc
32,1,Short,2020-02-01 1:15,9405.83,361.44943342160576,2020-02-01 1:30,9398.83,1170.7592934143322,1134414.7340800618,icc
33,2,Long,2020-02-01 22:30,9369.02,363.24441641070086,2020-02-01 23:00,9402.15,10670.58297728768,1145085.3170573495,icc
